fishID,half,prePost,largeMalePosition,fishName,round,treatment,transits,center,left_screen,left_side,plant,right_screen,right_side,latency_plant,latency_right_screen,latency_left_screen,trial_dur,center_prop,left screen_prop,left side_prop,plant_prop,right screen_prop,right side_prop,center_p,left screen_p,left side_p,plant_p,right screen_p,right side_p
fid1,p3,pre,right,barbie,1,LL,23,19.646,0,13.304,0,242.815,21.94,300,0.066,299.82,297.705,0.065991502,0,0.044688534,0,0.815622848,0.073697116,0.065991502,0,0.044688534,0,0.815622848,0.073697116
fid35,p1,post,none,beatrice,2,INT,22,7.207,0,14.143,27.321,225.945,24.121,0.65,65.781,300,298.737,0.024124899,0,0.047342646,0.091455026,0.756334167,0.080743262,0.024124899,0,0.047342646,0.091455026,0.756334167,0.080743262
fid35,p2,post,right,beatrice,2,INT,18,30.395,128.623,16.891,24.719,85.671,13.948,94.649,0.788,116.775,300.247,0.101233318,0.428390625,0.056257015,0.082328883,0.285335074,0.046455085,0.101233318,0.428390625,0.056257015,0.082328883,0.285335074,0.046455085
fid35,p3,post,left,beatrice,2,INT,33,26.664,171.78,38.435,0,31.126,30.4,300,18.664,0.099,298.405,0.089355071,0.575660595,0.128801461,0,0.104307904,0.101874969,0.089355071,0.575660595,0.128801461,0,0.104307904,0.101874969
fid28,p1,post,none,becca,3,SS,65.5,12.748,152.878,35.504,9.5255,61.168,26.084,7.0985,0.8775,16.728,297.9075,0.042791806,0.513172713,0.119177933,0.03197469,0.205325479,0.087557379,0.042791806,0.513172713,0.119177933,0.03197469,0.205325479,0.087557379
fid28,p2,post,right,becca,3,SS,72.5,2.939,170.1565,28.7995,13.146,68.8015,13.303,15.2245,19.1075,1.437,297.1455,0.009890777,0.572636974,0.096920532,0.044240953,0.23154145,0.044769313,0.009890777,0.572636974,0.096920532,0.044240953,0.23154145,0.044769313
fid28,p3,post,left,becca,3,SS,49,2.5345,230.442,37.3725,17.2155,1.4495,8.188,0.6935,19.9875,6.045,297.202,0.00852787,0.775371633,0.125747808,0.057925249,0.004877154,0.027550286,0.00852787,0.775371633,0.125747808,0.057925249,0.004877154,0.027550286
fid7,p1,post,none,bella,3,SS,27,4.808,49.542,16.549,19.218,191.254,17.353,222.832,2.086,206.948,298.724,0.016095125,0.165845396,0.055398964,0.064333632,0.640236472,0.058090411,0.016095125,0.165845396,0.055398964,0.064333632,0.640236472,0.058090411
fid7,p2,post,right,bella,3,SS,35,9.781,128.396,65.664,44.603,16.016,34.325,123.17,127.233,1.543,298.785,0.032735914,0.429727061,0.219770069,0.149281256,0.053603762,0.114881939,0.032735914,0.429727061,0.219770069,0.149281256,0.053603762,0.114881939
fid7,p3,post,left,bella,3,SS,40,6.139,213.798,46.345,19.485,3.203,8.573,0.912,231.809,5.15,297.543,0.020632312,0.718544883,0.155759,0.065486333,0.010764831,0.028812642,0.020632312,0.718544883,0.155759,0.065486333,0.010764831,0.028812642
fid22,p1,post,none,bernadette,4,FF,73,19.118,9.616,26.252,43.349,136.747,63.168,14.496,0.083,44.755,298.25,0.064100587,0.032241408,0.088020117,0.14534451,0.458497904,0.211795474,0.064100587,0.032241408,0.088020117,0.14534451,0.458497904,0.211795474
fid22,p1,pre,none,bernadette,4,FF,55,9.341,10.426,12.5495,15.6825,223.985,27.811,4.0445,0.1285,24.8965,299.795,0.031157958,0.034777098,0.041860271,0.052310746,0.747127204,0.092766724,0.031157958,0.034777098,0.041860271,0.052310746,0.747127204,0.092766724
fid22,p2,post,left,bernadette,4,FF,33,1.869,4.003,5.073,15.946,247.953,24.862,7.489,0.023,19.032,299.706,0.006236111,0.013356423,0.016926588,0.053205475,0.827320774,0.082954629,0.006236111,0.013356423,0.016926588,0.053205475,0.827320774,0.082954629
fid22,p2,pre,right,bernadette,4,FF,50,0,0,0,0,277.6725,21.0255,300,0.3705,300,298.698,0,0,0,0,0.929609505,0.070390495,0,0,0,0,0.929609505,0.070390495
fid22,p3,post,right,bernadette,4,FF,23,0,0,0,0,290.009,9.734,300,0.267,300,299.743,0,0,0,0,0.967525514,0.032474486,0,0,0,0,0.967525514,0.032474486
fid22,p3,pre,left,bernadette,4,FF,28,2.3,5.472,2.406,4.2765,262.08,23.0405,70.9765,0.5235,76.5385,299.575,0.007677543,0.018265877,0.008031378,0.014275223,0.874839356,0.076910623,0.007677543,0.018265877,0.008031378,0.014275223,0.874839356,0.076910623
fid11,p1,post,none,bernice,5,LS,61,12.542,42.713,32.896,30.662,146.035,32.034,2.983,26.409,38.06,296.882,0.042245741,0.143871976,0.110804966,0.103280091,0.49189577,0.107901456,0.042245741,0.143871976,0.110804966,0.103280091,0.49189577,0.107901456
fid11,p1,pre,none,bernice,5,LS,54.5,27.1925,137.8555,58.402,19.8465,18.252,35.086,261.0945,19.647,35.03,296.6345,0.091670052,0.46473185,0.196882021,0.066905569,0.061530267,0.11828024,0.091670052,0.46473185,0.196882021,0.066905569,0.061530267,0.11828024
